Input_Voltage,Output_Code,Residue,DAC_Voltage
-8.960000000000000187e-01,0.000000000000000000e+00,-1.168467386954778586e+00,-1.000000000000000000e+00
-8.940000000000000169e-01,0.000000000000000000e+00,-1.152460984393754329e+00,-1.000000000000000000e+00
-8.920000000000000151e-01,0.000000000000000000e+00,-1.136454581832729849e+00,-1.000000000000000000e+00
-8.900000000000000133e-01,0.000000000000000000e+00,-1.120448179271705147e+00,-1.000000000000000000e+00
-8.880000000000000115e-01,0.000000000000000000e+00,-1.104441776710680667e+00,-1.000000000000000000e+00
-8.860000000000000098e-01,0.000000000000000000e+00,-1.088435374149657298e+00,-1.000000000000000000e+00
-8.840000000000000080e-01,0.000000000000000000e+00,-1.072428971588632818e+00,-1.000000000000000000e+00
-8.820000000000000062e-01,0.000000000000000000e+00,-1.056422569027608338e+00,-1.000000000000000000e+00
-8.800000000000000044e-01,0.000000000000000000e+00,-1.040416166466583636e+00,-1.000000000000000000e+00
-8.780000000000000027e-01,0.000000000000000000e+00,-1.024409763905559378e+00,-1.000000000000000000e+00
-8.760000000000000009e-01,0.000000000000000000e+00,-1.008403361344534899e+00,-1.000000000000000000e+00
-8.739999999999999991e-01,0.000000000000000000e+00,-9.923969587835103079e-01,-1.000000000000000000e+00
-8.719999999999999973e-01,0.000000000000000000e+00,-9.763905562224858281e-01,-1.000000000000000000e+00
-8.699999999999999956e-01,0.000000000000000000e+00,-9.603841536614623475e-01,-1.000000000000000000e+00
-8.679999999999999938e-01,0.000000000000000000e+00,-9.443777511004378677e-01,-1.000000000000000000e+00
-8.659999999999999920e-01,0.000000000000000000e+00,-9.283713485394133880e-01,-1.000000000000000000e+00
-8.639999999999999902e-01,0.000000000000000000e+00,-9.123649459783889082e-01,-1.000000000000000000e+00
-8.619999999999999885e-01,0.000000000000000000e+00,-8.963585434173644284e-01,-1.000000000000000000e+00
-8.599999999999999867e-01,0.000000000000000000e+00,-8.803521408563399486e-01,-1.000000000000000000e+00
-8.579999999999999849e-01,0.000000000000000000e+00,-8.643457382953154688e-01,-1.000000000000000000e+00
-8.559999999999999831e-01,0.000000000000000000e+00,-8.483393357342909891e-01,-1.000000000000000000e+00
-8.539999999999999813e-01,0.000000000000000000e+00,-8.323329331732663983e-01,-1.000000000000000000e+00
-8.519999999999999796e-01,0.000000000000000000e+00,-8.163265306122430287e-01,-1.000000000000000000e+00
-8.499999999999999778e-01,0.000000000000000000e+00,-8.003201280512184379e-01,-1.000000000000000000e+00
