Input_Voltage,Digital_Output
-9.052271617000489101e-01,1.365000000000000000e+03
-9.042501221299462655e-01,1.365000000000000000e+03
-9.032730825598436208e-01,1.365000000000000000e+03
-9.022960429897410872e-01,1.365000000000000000e+03
-9.013190034196385536e-01,1.365000000000000000e+03
-9.003419638495359090e-01,1.365000000000000000e+03
-8.993649242794332643e-01,1.365000000000000000e+03
-8.983878847093307307e-01,1.365000000000000000e+03
-8.974108451392281971e-01,1.365000000000000000e+03
-8.964338055691255525e-01,1.365000000000000000e+03
-8.954567659990229078e-01,1.365000000000000000e+03
-8.944797264289203742e-01,1.365000000000000000e+03
-8.935026868588178406e-01,1.365000000000000000e+03
-8.925256472887151959e-01,1.365000000000000000e+03
-8.915486077186125513e-01,1.365000000000000000e+03
-8.905715681485100177e-01,1.365000000000000000e+03
-8.895945285784074841e-01,1.365000000000000000e+03
-8.886174890083048394e-01,1.365000000000000000e+03
-8.876404494382021948e-01,1.365000000000000000e+03
-8.866634098680996612e-01,1.365000000000000000e+03
-8.856863702979971276e-01,1.365000000000000000e+03
-8.847093307278944829e-01,1.365000000000000000e+03
-8.837322911577918383e-01,1.365000000000000000e+03
-8.827552515876893047e-01,1.365000000000000000e+03
-8.817782120175867711e-01,1.365000000000000000e+03
-8.808011724474841264e-01,1.365000000000000000e+03
-8.798241328773814818e-01,1.365000000000000000e+03
-8.788470933072789482e-01,1.365000000000000000e+03
-8.778700537371764145e-01,1.365000000000000000e+03
-8.768930141670737699e-01,1.365000000000000000e+03
-8.759159745969711253e-01,1.365000000000000000e+03
-8.749389350268685916e-01,1.365000000000000000e+03
-8.739618954567660580e-01,1.365000000000000000e+03
-8.729848558866634134e-01,1.365000000000000000e+03
-8.720078163165607688e-01,1.365000000000000000e+03
-8.710307767464582351e-01,1.365000000000000000e+03
-8.700537371763557015e-01,1.365000000000000000e+03
-8.690766976062530569e-01,1.365000000000000000e+03
-8.680996580361504122e-01,1.365000000000000000e+03
-8.671226184660478786e-01,1.365000000000000000e+03
-8.661455788959453450e-01,1.365000000000000000e+03
-8.651685393258427004e-01,1.365000000000000000e+03
-8.641914997557400557e-01,1.365000000000000000e+03
-8.632144601856375221e-01,1.365000000000000000e+03
-8.622374206155349885e-01,1.365000000000000000e+03
-8.612603810454323439e-01,1.365000000000000000e+03
-8.602833414753296992e-01,1.365000000000000000e+03
-8.593063019052271656e-01,1.365000000000000000e+03
-8.583292623351246320e-01,1.365000000000000000e+03
-8.573522227650219873e-01,1.365000000000000000e+03
-8.563751831949193427e-01,1.365000000000000000e+03
-8.553981436248168091e-01,1.365000000000000000e+03
-8.544211040547142755e-01,1.365000000000000000e+03
-8.534440644846116308e-01,1.365000000000000000e+03
-8.524670249145089862e-01,1.365000000000000000e+03
-8.514899853444064526e-01,1.365000000000000000e+03
-8.505129457743039190e-01,1.365000000000000000e+03
-8.495359062042012743e-01,1.365000000000000000e+03
-8.485588666340986297e-01,1.365000000000000000e+03
-8.475818270639960961e-01,1.365000000000000000e+03
-8.466047874938935625e-01,1.365000000000000000e+03
-8.456277479237909178e-01,1.365000000000000000e+03
-8.446507083536882732e-01,1.365000000000000000e+03
-8.436736687835857396e-01,1.365000000000000000e+03
-8.426966292134832059e-01,1.365000000000000000e+03
-8.417195896433805613e-01,1.365000000000000000e+03
-8.407425500732779167e-01,1.365000000000000000e+03
-8.397655105031753831e-01,1.365000000000000000e+03
-8.387884709330728494e-01,1.365000000000000000e+03
-8.378114313629702048e-01,1.365000000000000000e+03
-8.368343917928675602e-01,1.365000000000000000e+03
-8.358573522227650265e-01,1.365000000000000000e+03
-8.348803126526624929e-01,1.365000000000000000e+03
-8.339032730825598483e-01,1.365000000000000000e+03
-8.329262335124572036e-01,1.365000000000000000e+03
-8.319491939423546700e-01,1.365000000000000000e+03
-8.309721543722521364e-01,1.365000000000000000e+03
-8.299951148021494918e-01,1.365000000000000000e+03
-8.290180752320468471e-01,1.365000000000000000e+03
-8.280410356619443135e-01,1.365000000000000000e+03
-8.270639960918417799e-01,1.365000000000000000e+03
-8.260869565217391353e-01,1.365000000000000000e+03
-8.251099169516364906e-01,1.365000000000000000e+03
-8.241328773815339570e-01,1.365000000000000000e+03
-8.231558378114314234e-01,1.365000000000000000e+03
-8.221787982413287788e-01,1.365000000000000000e+03
-8.212017586712261341e-01,1.365000000000000000e+03
-8.202247191011236005e-01,1.365000000000000000e+03
-8.192476795310210669e-01,1.365000000000000000e+03
-8.182706399609184222e-01,1.365000000000000000e+03
